manufacturer;model_name;detail_name;hsn;tsn;displacement;power;year_from;year_to;engine_type;target_bucket
VW;Tiguan;5N (TIGUAN 2.0 TDI 4MOTION);0603;BJO;1968;130;2012;2015;Diesel;2
VW;Tiguan;5N (TIGUAN 2.0 TDI);0603;ATM;1968;81;2010;2015;Diesel;2
VW;Tiguan;5N (TIGUAN 2.0 TDI);0603;ANP;1968;103;2008;2015;Diesel;2
VW;Tiguan;5N (TIGUAN 2.0 TDI 4MOTION);0603;ANL;1968;125;2008;2015;Diesel;2
VW;Tiguan;5N (TIGUAN 2.0 TDI 4MOTION);0603;ANK;1968;125;2008;2015;Diesel;2
VW;Tiguan;5N (TIGUAN 2.0 TDI 4MOTION);0603;ANJ;1968;120;2008;2015;Diesel;2
Audi;A8;4H (A8 4.2 TDI QUATTRO);0588;AYY;4134;283;2013;2018;Diesel;1
Audi;A4;B8 (A4 3.0 TDI);0588;AUC;2967;150;2011;2015;Diesel;1
Audi;A6;4G (A6 3.0 TDI QUATTRO);0588;ARC;2967;150;2010;2018;Diesel;1
Audi;A5;B8 (A5 3.0 TDI);0588;ASA;2967;150;2011;2017;Diesel;1
Audi;Q5;8R (Q5 3.0 TDI QUATTRO);0588;AVV;2967;180;2012;2016;Diesel;1
Audi;A5;B8 (A5 CABRIO 3.0 TDI);0588;ASJ;2967;150;2011;2017;Diesel;1
Porsche;Cayenne;92A (CAYENNE 3.0 TDI);0583;AER;2967;180;2011;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI QUATTRO);0588;BGH;2967;140;2015;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI);0588;BEX;2967;140;2015;2018;Diesel;1
Audi;A5;B8 (A5 COUPE 3.0 TDI QUATTRO);0588;BKZ;2967;200;2017;2019;Diesel;1
Audi;A5;B8 (A5 SPORTBACK 3.0 TDI QUATTRO);0588;BLC;2967;200;2017;2019;Diesel;1
